date;taux
18/12/2025;2,25%
25/09/2025;2,25%
26/06/2025;2,25%
20/03/2025;2,25%
19/12/2024;2,50%
26/09/2024;2,75%
27/06/2024;2,75%
21/03/2024;3,00%
21/12/2023;3,00%
28/09/2023;3,00%
22/06/2023;3,00%
23/03/2023;3,00%
22/12/2022;2,50%
27/09/2022;2,00%
21/06/2022;1,50%
22/03/2022;1,50%
21/12/2021;1,50%
22/06/2021;1,50%
23/03/2021;1,50%
15/12/2020;1,50%
22/09/2020;1,50%
18/06/2020;1,50%
17/03/2020;2,00%
17/12/2019;2,25%
24/09/2019;2,25%
18/06/2019;2,25%
19/03/2019;2,25%
18/12/2018;2,25%
25/09/2018;2,25%
19/06/2018;2,25%
20/03/2018;2,25%
19/12/2017;2,25%
26/09/2017;2,25%
20/06/2017;2,25%
21/03/2017;2,25%
20/12/2016;2,25%
27/09/2016;2,25%
21/06/2016;2,25%
22/03/2016;2,25%
22/12/2015;2,50%
22/09/2015;2,50%
16/06/2015;2,50%
24/03/2015;2,50%
16/12/2014;2,50%
23/09/2014;2,75%
17/06/2014;3,00%
25/03/2014;3,00%
